date,close,high,low,open,volume,adjClose
2016-08-08 00:00:00+00:00,108.37,108.37,107.16,107.52,28037220,25.44209808
2016-08-09 00:00:00+00:00,108.81,108.94,108.01,108.23,26315204,25.54539718
2016-08-10 00:00:00+00:00,108,108.9,107.76,108.71,24008505,25.35523293
2016-08-11 00:00:00+00:00,107.93,108.93,107.85,108.52,27484506,25.33879898
2016-08-12 00:00:00+00:00,108.18,108.44,107.78,107.78,18660434,25.39749165
2016-08-15 00:00:00+00:00,109.48,109.54,108.08,108.14,25868209,25.70269353
2016-08-16 00:00:00+00:00,109.38,110.23,109.21,109.63,33794448,25.67921646
2016-08-17 00:00:00+00:00,109.22,109.37,108.34,109.1,25355976,25.64165315
2016-08-18 00:00:00+00:00,109.08,109.6,109.02,109.23,21984703,25.60878526
2016-08-19 00:00:00+00:00,109.36,109.69,108.36,108.77,25368072,25.67452105
2016-08-22 00:00:00+00:00,108.51,109.1,107.85,108.86,25820230,25.47496597
2016-08-23 00:00:00+00:00,108.85,109.32,108.53,108.59,21257669,25.554788
2016-08-24 00:00:00+00:00,108.03,108.75,107.68,108.565,23675081,25.36227605
2016-08-25 00:00:00+00:00,107.57,107.88,106.68,107.39,25086248,25.25428154
2016-08-26 00:00:00+00:00,106.94,107.95,106.31,107.41,27766291,25.10637601
2016-08-29 00:00:00+00:00,106.82,107.44,106.29,106.62,24970300,25.07820353
2016-08-30 00:00:00+00:00,106,106.5,105.5,105.8,24863945,24.88569158
2016-08-31 00:00:00+00:00,106.1,106.5699,105.64,105.66,29662406,24.90916865
2016-09-01 00:00:00+00:00,106.73,106.8,105.62,106.14,26701523,25.05707417
2016-09-02 00:00:00+00:00,107.73,108,106.82,107.7,26802450,25.29184485
2016-09-06 00:00:00+00:00,107.7,108.3,107.51,107.9,26880391,25.28480173
2016-09-07 00:00:00+00:00,108.36,108.76,107.07,107.83,42364328,25.43975037
2016-09-08 00:00:00+00:00,105.52,107.27,105.24,107.25,53002026,24.77300165
2016-09-09 00:00:00+00:00,103.13,105.72,103.13,104.64,46556984,24.21189974
2016-09-12 00:00:00+00:00,105.44,105.72,102.53,102.65,45292770,24.75422
2016-09-13 00:00:00+00:00,107.95,108.79,107.24,107.51,62176190,25.3434944
2016-09-14 00:00:00+00:00,111.77,113.03,108.6,108.73,112340318,26.24031838
2016-09-15 00:00:00+00:00,115.57,115.73,113.49,113.86,90613177,27.13244694
2016-09-16 00:00:00+00:00,114.92,116.13,114.04,115.12,79886911,26.979846
2016-09-19 00:00:00+00:00,113.58,116.18,113.25,115.19,47023046,26.6652533
2016-09-20 00:00:00+00:00,113.57,114.12,112.51,113.05,34514269,26.66290559
